objectid,title,creator,date,date-is-approximate?,Medium,description,identifier,dimensions,artist bio,artist quote,subject,location,latitude,longitude,source,type,language,rights,rightsstatement,display_template,object_location,image_alt_text,object_transcript,credit_line,Nationality,Period,parentid
acm_015,Mushrooms,Lindsey,,,Watercolor and acylic on paper,Close view of pale mushrooms scattered among grasses and woodland vegetation.,ACM.2022.010,8 x 11 in.,,,Mushrooms;Plants;Woodlands;Nature,,,,,,,,,image,/objects/acm_015.png,,,,,,
acm_016,"Ligon-Gale Home, Municipal Art Gallery",H Radcliffe,,,Ink pen on paper,"Architectural ink drawing of the front elevation of the Ligon-Gale Home, showing its porch, roofline, windows, and surrounding vegetation.",ACM.2022.011,12.5 x 10 in.,,,Architecture;Historic buildings;Houses;Porches;Jackson (Miss.),,,,,,,,,image,/objects/acm_016.png,,,,,,
acm_017,Untitled,C S Langston,2007,FALSE,Watercolor on Paper,"Watercolor view of a large historic house with a red roof, central porch, and steps leading toward the foreground.",ACM.2007.001,8 x 11 in.,,,Architecture;Houses;Historic buildings;Porches,,,,,,,,,image,/objects/acm_017.png,,,,,,
acm_018,Untitled,Stanley Robinson,,,Oil on canvas,"Loosely rendered portrait of a standing figure, with facial features and clothing emerging through soft, mottled color.",ACM.2022.012,11 x 15 in.,,,Portraits;Figures;Expressionism,,,,,,,,,image,/objects/acm_018.png,,,,,,
acm_019,Man with head wrap,John Derby,,,Oil pastel on paper,Bust-length portrait of a man wearing a multicolored head wrap and light green garment against a neutral background.,ACM.2022.013,11 x 14 in.,,,Portraits;Men;Head wraps,,,,,,,,,image,/objects/acm_019.png,,,,,,
acm_020,Two Onions and One Tomato,Robert Burns,1987,FALSE,Oil on canvas,Still life of two pale onions and one red tomato arranged beside a large bowl.,ACM.1987.001,11.5 x 9 in.,,,Still lifes;Onions;Tomatoes;Bowls;Vegetables,,,,,,,,,image,/objects/acm_020.png,,,,,,
acm_021,Untitled,Tommy Smith Vaniz,,,Watercolor and acylic on paper,"Study of leafy houseplants arranged against a red brick wall, including a tall plant with striped leaves.",ACM.2022.014,6 x 9 in.,,,Still lifes;Houseplants;Plants;Brick walls,,,,,,,,,image,/objects/acm_021.png,,,,,,
acm_022,Untitled,,,,Oil pastel on paper,Bust-length portrait of a young man in a light shirt against a softly shaded blue background.,ACM.2022.015,15 x 19 in.,,,Portraits;Men,,,,,,,,,image,/objects/acm_022.png,,,,,,
acm_023,Untitled,,,,Oil on canvas,Landscape with a pale castle or church-like complex rising above dense trees and flowering vegetation.,ACM.2022.016,19 x 10.5 in.,,,Landscapes;Architecture;Castles;Trees;Flowers,,,,,,,,,image,/objects/acm_023.png,,,,,,
acm_024,Untitled,Jack Olson,1986,FALSE,Watercolor on Paper,Watercolor study of cut logs stacked beneath or beside a simple wooden structure.,ACM.1986.001,21 x 14 in.,,,Still lifes;Logs;Wood;Rural scenes,,,,,,,,,image,/objects/acm_024.png,,,,,,
acm_025,Geranium,Yvette Sturgis,,,Print,Potted red geraniums in bloom against a warm yellow background.,ACM.2022.017,19 x 22 in.,,,Still lifes;Geraniums;Flowers;Potted plants,,,,,,,,,image,/objects/acm_025.png,,,,,,
acm_026,"The Old Door, Natchez",Henry Gurley,1978,FALSE,Photographic print on canvas,"Photograph of a weathered wooden door set into a red brick wall in Natchez, Mississippi.",ACM.1978.001,11 x 14 in.,,,Photography;Doors;Brick buildings;Architecture;Natchez (Miss.),,,,,,,,,image,/objects/acm_026.png,,,,,,
acm_027,Untitled,C S Langston,2000,FALSE,oil on canvas,"Bright coastal landscape seen from a garden, with a stone building, red shutters, flowers, boats, and mountains across the water.",ACM.2000.003,24 x 18 on.,,,Landscapes;Coasts;Gardens;Boats;Houses;Mountains;Water,,,,,,,,,image,/objects/acm_027.png,,,,,,
acm_028,Untitled,Yvette Sturgis,1985,FALSE,oil on canvas,Panoramic field densely filled with yellow sunflowers beneath a low blue-gray sky.,ACM.1985.001,20 x 10 in.,,,Landscapes;Sunflowers;Flowers;Fields,,,,,,,,,image,/objects/acm_028.png,,,,,,
acm_029,Flowers in Blue Vase,Bewey Bowden,,,Oil on canvas,Tall bouquet of pink and white flowers arranged in a blue vase.,ACM.2022.018,12 x 24 in.,,,Still lifes;Flowers;Bouquets;Vases,,,,,,,,,image,/objects/acm_029.png,,,,,,
acm_030,Harvest,Landrough Miller,2007,FALSE,Watercolor on paper,"Watercolor still life of assorted fruit, including dark purple and orange forms, gathered on a blue surface.",ACM.2007.002,9.5 x 7.5 in.,,,Still lifes;Fruit,,,,,,,,,image,/objects/acm_030.png,,,,,,
acm_031,Rosalie,Doris. B. Nunn,1963,FALSE,Watercolor on paper,"Watercolor street scene with light-colored houses, a large tree, and a quiet roadway in the foreground.",ACM.1963.001,20 x 14 in.,,,Landscapes;Houses;Streets;Trees;Architecture,,,,,,,,,image,/objects/acm_031.png,,,,,,
acm_032,7/25,Susan Habeeb,1979,FALSE,Photographic print on canvas,Photograph of a flock of sheep standing in the foreground of a broad hilly landscape.,ACM.1979.001,19 x 15 in.,,,Photography;Sheep;Flocks;Landscapes;Hills,,,,,,,,,image,/objects/acm_032.png,,,,,,
acm_033,Jack Dison,,,,Water color on paper,"Coastal watercolor landscape with rocky terrain, water, distant mountains, and two small figures near the shoreline.",ACM.2022.019,21 x 14 in.,,,Landscapes;Coasts;Shorelines;Mountains;Figures;Water,,,,,,,,,image,/objects/acm_033.png,,,,,,
acm_034,Untitled,,,,acrylic on canvas,Rural landscape with a winding dirt road passing through a field of small white flowers toward distant hills and buildings.,ACM.2022.020,4 x 6 in.,,,Landscapes;Roads;Fields;Flowers;Hills,,,,,,,,,image,/objects/acm_034.png,,,,,,
acm_035,Untitled,,,,acrylic on canvas,Still life of a large slice of watermelon on a decorated plate with a knife beside it.,ACM.2022.021,8 x 10 in.,,,Still lifes;Watermelons;Fruit;Knives;Plates,,,,,,,,,image,/objects/acm_035.png,,,,,,
acm_036,Untitled,,2007,FALSE,watercolor on paper,"Small landscape with leafy branches framing a distant body of water beneath a pale lavender and yellow sky, with birds in flight.",ACM.2007.003,4 x 6 in.,,,Landscapes;Water;Birds;Trees;Sky,,,,,,,,,image,/objects/acm_036.png,,,,,,
acm_037,Thrashers,Harry Maddox,1984,FALSE,watercolor on paper,Study of three brown-and-white thrashers perched among leafy branches and berries.,ACM.1984.001,12 x 17 in.,,,Birds;Thrashers;Branches;Berries;Nature,,,,,,,,,image,/objects/acm_037.png,,,,,,
acm_038,Under Glass,Gerald Marley,,,watercolor on paper,Still life of pale flowers arranged in a rounded white vase against a dark blue background.,ACM.2022.022,16 x 18 in.,,,Still lifes;Flowers;Vases,,,,,,,,,image,/objects/acm_038.png,,,,,,
acm_039,Falling Colors,,,,Acrylic and shellac on Paper,"Abstract composition of overlapping red, orange, green, and blue forms with glossy, layered surfaces.",ACM.2022.023,11 x 14 in.,,,Abstract art;Color;Geometric forms,,,,,,,,,image,/objects/acm_039.png,,,,,,
acm_040,Untitled,Laurel Schoolar,,,Oil pastel on paper,Stylized still life of multicolored flowers in a rounded vase against a dark ground.,ACM.2022.024,8 x 10 in.,,,Still lifes;Flowers;Vases,,,,,,,,,image,/objects/acm_040.png,,,,,,
acm_041,"Gymnasts for Peace, Kyoto, Japan",Susan Brumfiled,1981,FALSE,Photograph,"Photograph showing a very large group of gymnasts arranged in repeated rows across an open field in Kyoto, Japan.",ACM.1981.001,8 x 10.5 in.,,,Photography;Gymnastics;Athletes;Groups;Kyoto (Japan);Peace,,,,,,,,,image,/objects/acm_041.png,,,,,,
acm_042,Untitled,N P Mauldin,,,Acrylic on canvas,Open landscape with a broad yellow field bordered by green trees beneath a pale sky.,ACM.2022.025,15 x 11 in.,,,Landscapes;Fields;Trees,,,,,,,,,image,/objects/acm_042.jpg,,,,,,
acm_043,Fruit Good and Bad,Landrough Miller,2007,FALSE,Watercolor on paper,"Watercolor still life of assorted orange, green, blue, and purple fruit arranged in a loose cluster.",ACM.2007.004,9.5 x 8 in.,,,Still lifes;Fruit,,,,,,,,,image,/objects/acm_043.jpg,,,,,,
acm_044,Untitled,Mildred Nungester Wolfe,1955,FALSE,Oil on canvas,"Bust-length portrait of a woman with dark hair, red lips, and a white blouse against a warm ochre background.",ACM.1955.001,12 x 16 in.,,,Portraits;Women,,,,,,,,,image,/objects/acm_044.JPG,,,,,,
acm_045,Beholder's Beauty,Jeffrey Yentz,,,Pen on paper,"Detailed pen drawing of a weathered two-story house with porches, brickwork, and surrounding vegetation.",ACM.2022.026,23 x 18 in.,,,Drawings;Architecture;Houses;Porches;Historic buildings,,,,,,,,,image,/objects/acm_045.png,,,,,,
acm_046,Lost Jackson,Jeffrey Yentz,,,Pen on paper,"Color landscape centered on a small waterfall flowing over rocks, with trees and two figures nearby.",ACM.2022.027,23 x 18in.,,,Landscapes;Waterfalls;Rocks;Trees;Figures,,,,,,,,,image,/objects/acm_046.png,,,,,,
acm_047,Houses not homes,Jeffrey Yentz,,,Pen on paper,Detailed pen drawing of a row of closely spaced wooden houses and porches receding into the distance.,ACM.2022.028,18 x 23 in.,,,Drawings;Architecture;Houses;Porches;Neighborhoods,,,,,,,,,image,/objects/acm_047.png,,,,,,
acm_048,Untitled,R T Clerk,2008,FALSE,Pencil on paper,Pencil drawing of a tiger shown in profile from the shoulders up.,ACM.2008.001,24 x 19 in.,,,Drawings;Tigers;Animals;Wildlife,,,,,,,,,image,/objects/acm_048.png,,,,,,
acm_049,Untitled,Laurel Schoolar,1997 reword 2009,TRUE,OIl on canvas,"Colorful rural landscape with a small red building, trees, fence posts, and cultivated rows in the foreground.",ACM.1997.001,22 x 28 in.,,,Landscapes;Rural scenes;Farm buildings;Fields;Trees;Fences,,,,,,,,,image,/objects/acm_049.png,,,,,,
acm_050,Untitled,C Bennett,2008,FALSE,Pencil on paper,"Pencil portrait of a laughing woman with short hair and an open mouth, shown from the shoulders up.",ACM.2008.002,17 x 20 in.,,,Portraits;Women;Laughter,,,,,,,,,image,/objects/acm_050.png,,,,,,
acm_051,Untitled,Laurel Schoolar,,,Watercolor on paper,Loose watercolor still life of multicolored flowers arranged in a rounded blue-green vase.,ACM.2022.029,17 x 21 in.,,,Still lifes;Flowers;Vases,,,,,,,,,image,/objects/acm_051.png,,,,,,
acm_052,Untitled,Benton,1988,FALSE,Acrylic on paper,"Harbor scene with several fishing boats moored beside a dock, their masts reflected in calm blue water.",ACM.1988.001,15 x 22 in.,,,Harbors;Boats;Fishing boats;Docks;Water,,,,,,,,,image,/objects/acm_052.png,,,,,,
acm_053,Untitled,Ann Walker,,,Watercolor on paper,Watercolor of a tan puppy resting among dark shoes and a red patterned cushion or textile.,ACM.2022.030,23 x 16 in.,,,Dogs;Shoes;Textiles,,,,,,,,,image,/objects/acm_053.png,,,,,,
acm_054,Magnolia,Laurel Schoolar,,,Watercolor on Paper,Botanical study of large white magnolia blossoms and green leaves arranged across a pale ground.,ACM.2022.031,24 x 19 in.,,,Magnolias;Flowers;Leaves;Botanical art,,,,,,,,,image,/objects/acm_054.png,,,,,,
acm_055,Untitled,,,,Watercolor on paper,Colorful floral still life with a tall vase of mixed flowers and fruit-like forms set against a bright blue background.,ACM.2022.032,15 x 23 in.,,,Still lifes;Flowers;Vases;Fruit,,,,,,,,,image,/objects/acm_055.png,,,,,,
acm_056,Untitled,MM,2008,FALSE,Oil pastel on paper,Expressive abstract composition of two yellow mask-like forms surrounded by looping green and burgundy lines on a pink ground.,ACM.2008.003,23 x 18 in.,,,Abstract art;Organic forms;Lines,,,,,,,,,image,/objects/acm_056.png,,,,,,
acm_057,Bull Moose Sax,Jeffrey Yentz,,,Pen on Paper,Pen drawing focused on a saxophone and the hands and torso of a musician playing the instrument.,ACM.2022.033,18 x 23 in.,,,Musicians;Saxophones;Musical instruments;Hands,,,,,,,,,image,/objects/acm_057.png,,,,,,
acm_058,Guineas 30 / 100,Ann Bidenbarn Jones,,,Screen print on paper,"Stylized screen print of a group of guinea fowl in patterned black, gray, white, and red plumage.",ACM.2022.034,36 x 25 in.,,,Guinea fowl;Birds;Animals,,,,,,,,,image,/objects/acm_058.png,,,,,,
acm_059,Municipal Art Gallery,Barbard Lee,,,Watercolor and acrylic on paper,"Exterior view of the Municipal Art Gallery with front steps, porch, surrounding trees, and flowering plants.",ACM.2022.035,15 x 14 in.,,,Art galleries;Buildings;Architecture;Porches;Trees,,,,,,,,,image,/objects/acm_059.png,,,,,,
acm_060,Untitled,Rose,,,Watercolor on paper,"Watercolor street scene of one person pushing a shopping cart while another figure stands or rides beside it, with birds in the distance.",ACM.2022.036,7 x 10 in.,,,People;Shopping carts;Street scenes;Birds,,,,,,,,,image,/objects/acm_060.png,,,,,,
acm_061,Festival,Peggy Ederington,,,Acrylic on paper,"Abstract composition of layered orange, red, and brown vertical forms above a geometric base with a circular emblem.",ACM.2022.037,17 x 15 in.,,,Abstract art;Geometric forms;Symbols,,,,,,,,,image,/objects/acm_061.png,,,,,,
acm_062,Flamingo Cover,D Vick,,,Watercolor and glitter on paper,Decorative watercolor of a bright orange flamingo standing among dark green foliage and water.,ACM.2022.038,17 x 24 in.,,,Flamingos;Birds;Water;Plants,,,,,,,,,image,/objects/acm_062.png,,,,,,
acm_063,No Serving,Jeffrey Yentz,,,Pen on paper,"Detailed pen drawing of a tabletop or counter crowded with food baskets, cups, beverage containers, and a 'Now Serving' sign.",ACM.2022.039,23 x 18 in.,,,Still lifes;Food;Beverages;Restaurants;Signs,,,,,,,,,image,/objects/acm_063.png,,,,,,
acm_064,Reservoir Meet,Kenneth M Quinn,1966,FALSE,Watercolor on paper,"Watercolor of a small white boat beside a wooded shoreline, with a modest structure at right.",ACM.1966.001,"28 x 20 """,,,Boats;Trees;Shorelines;Buildings;Water,,,,,,,,,image,/objects/acm_064.png,,,,,,
acm_065,Deep Country,Mildred Nungester Wolfe,1923,FALSE,Watercolor on paper,"Rural landscape with a winding dirt road, fence line, fields, and a small house beneath an overcast sky.",ACM.1923.001,23 x 17 in.,,,Landscapes;Roads;Fences;Fields;Houses,,,,,,,,,image,/objects/acm_065.png,,,,,,
acm_066,Work of Your Hands,Iris Paris,,,Oil on Canvas,"Open landscape with a broad pale field, low tree line, and expansive blue sky.",ACM.2022.040,20 x 16 in.,,,Landscapes;Fields;Trees;Skies,,,,,,,,,image,/objects/acm_066.png,,,,,,
acm_067,Portait of Carol Waller,Karl Wolfe,,,Oil on Canvas,Bust-length portrait of a woman with short dark hair against a softly modeled brown background.,ACM.2022.041,13 x 15 in.,,,Portraits;Women,,,,,,,,,image,/objects/acm_067.png,,,,,,
acm_068,Untitled,Bush,,,Acrylic on Canvas,"Expressionistic wooded landscape with a bright path or clearing winding through dense green, yellow, and blue foliage.",ACM.2022.042,17 x 14 in.,,,Landscapes;Forests;Trees;Paths,,,,,,,,,image,/objects/acm_068.png,,,,,,
acm_069,Untitled,Susan Wellington,,,Watercolor on paper,Single yellow daffodil set against a dark decorative patterned background.,ACM.2022.043,12 x 15 in.,,,Daffodils;Flowers;Floral motifs,,,,,,,,,image,/objects/acm_069.png,,,,,,
acm_070,Untitled,Laurel Schoolar,,,Watercolor and Pen on Paper,"Watercolor still life of a mottled gourd-like vessel, a bowl, and several round fruits arranged on a pale ground.",ACM.2022.044,20.5 x 15 in.,,,Still lifes;Gourds;Bowls;Fruit,,,,,,,,,image,/objects/acm_070.png,,,,,,
acm_071,Untitled,Doris Nunn,1963,FALSE,Watercolor on paper,Watercolor view of a white two-story classical-style house behind a picket fence and trees.,ACM.1963.002,18.5 x 14.5 in.,,,Houses;Architecture;Fences;Trees,,,,,,,,,image,/objects/acm_071.png,,,,,,
acm_072,Untitled,Gary Walters,,,Watercolor on paper,"Watercolor of a weathered wooden house or outbuilding beside shallow water, with a bare tree and reflected forms.",ACM.2022.045,28 x 21 in.,,,Houses;Rural buildings;Trees;Water;Reflections,,,,,,,,,image,/objects/acm_072.png,,,,,,
acm_073,"Ray Scott, Exhibit Chairman MS Art Association",Kenne Ellis,,,Photograph,Black-and-white head-and-shoulders photographic portrait of a man in a dark suit and tie.,ACM.2022.046,13 x 21 in.,,,Portraits;Men;Suits,,,,,,,,,image,/objects/acm_073.png,,,,,,
acm_074,Untitled,W Jackson,,,Oil on canvas,Loose oil landscape of a rocky stream or waterfall running through a green wooded setting.,ACM.2022.047,17 x 23 in.,,,Landscapes;Streams;Rocks;Trees,,,,,,,,,image,/objects/acm_074.png,,,,,,
acm_075,Mrs. W H Waddell,Karl Wolfe,1937,FALSE,Oil on Canvas,Oval formal portrait of an older woman with gray hair wearing a black dress against a pale blue background.,ACM.1937.001,20 x 24 in.,,,Portraits;Women;Older women;Dresses,,,,,,,,,image,/objects/acm_075.png,,,,,,
acm_076,Untitled,J Thigpen,,,Oil on canvas,Still life of red geraniums in a pot and several glass bottles arranged on a windowsill behind decorative ironwork.,ACM.2022.048,23 x 19 in.,,,Still lifes;Geraniums;Flowers;Bottles;Windows,,,,,,,,,image,/objects/acm_076.png,,,,,,
acm_077,Untitled,Mark Jon,1983,FALSE,Oil on canvas,"Mountain landscape with a green lake or meadow in the foreground, trees, and snow-capped peaks beneath a blue sky.",ACM.1983.001,20 x 16 in.,,,Landscapes;Mountains;Lakes;Trees;Snow,,,,,,,,,image,/objects/acm_077.png,,,,,,
acm_078,Untitled,C S Langston,2007,FALSE,Oil on canvas,Close-up painting of a white magnolia blossom and dark green leaves against a deep blue-black background.,ACM.2007.005,18 x 24 in.,,,Magnolias;Flowers;Leaves,,,,,,,,,image,/objects/acm_078.png,,,,,,
acm_079,Springtime,Billy Bacon,1988,FALSE,Oil on Canvas,Abstracted floral composition of clustered red and pink blossoms against a warm yellow-orange field.,ACM.1988.002,20 x 16 in.,,,Flowers;Floral motifs;Abstract art,,,,,,,,,image,/objects/acm_079.png,,,,,,
acm_080,Untitled,Charles Guess,,,Oil on Canvas,"Urban street scene with pedestrians and cars near a tall church or cathedral, with two modern towers visible in the distance.",ACM.2022.049,24 x 30 in.,,,Cityscapes;Streets;Churches;Pedestrians;Automobiles,,,,,,,,,image,/objects/acm_080.png,,,,,,
acm_081,Untitled,Julia Scales,1985,FALSE,Oil on Canvas,Seated portrait of a smiling woman in a pale pink dress posed in a wooden armchair.,ACM.1985.002,24 x 30in.,,,Portraits;Women;Dresses;Chairs,,,,,,,,,image,/objects/acm_081.png,,,,,,
acm_082,Untitled,Norman,1982,FALSE,Oil on Canvas,"Softly painted rural landscape of a dirt road curving past trees, shrubs, and a wooden fence.",ACM.1982.002,24 X 20 in.,,,Landscapes;Roads;Trees;Fences,,,,,,,,,image,/objects/acm_082.png,,,,,,
acm_083,Untitled,Sam McCain,,,Oil on Canvas,"Colorful stylized composition of musicians performing with a large brass horn, set against a red piano and geometric background.",ACM.2022.050,23 x 35 in.,,,Musicians;Brass instruments;Pianos;Music,,,,,,,,,image,/objects/acm_083.png,,,,,,
acm_084,Josh Halbert Gardens,Alfred Nichols,,,Oil on Canvas,"Garden view with curved flower beds, lawns, trees, and a large institutional building in the background.",ACM.2022.051,38 x 40 in.,,,Gardens;Flowers;Landscapes;Buildings,,,,,,,,,image,/objects/acm_084.png,,,,,,
acm_085,Untitled,Eyd Kazert,,,Photograph,"Black-and-white photograph of a large riverboat at a shoreline landing, with a person seated in the foreground.",ACM.2022.052,11 x 14 in.,,,Riverboats;Boats;Rivers;People;Shorelines,,,,,,,,,image,/objects/acm_085.png,,,,,,
acm_086,Potrait of Andew Jackson,Karl Wolfe,1965,FALSE,Oil on Canvas,"Full-length historical portrait of Andrew Jackson in a blue military coat and gold trousers, holding a sword.",ACM.1965.001,41 x 65 in.,,,Portraits;Andrew Jackson;Military uniforms;Swords,,,,,,,,,image,/objects/acm_086.png,,,,,,
acm_087,Boats,Mildred Nungester Wolfe,1942,FALSE,Watercolor on Paper,Watercolor of several small rowboats clustered on choppy water beneath a cloudy gray sky.,ACM.1942.001,22 x 18 in.,,,Boats;Rowboats;Water;Skies,,,,,,,,,image,/objects/acm_087.png,,,,,,
acm_088,Untitled,John Gaddis,c. 1970s,TRUE,Watercolor on Paper,Loose watercolor landscape of a small white building partly obscured by trees beside a rocky stream.,ACM.1970.001,23 x 17 in.,,,Landscapes;Buildings;Trees;Streams;Rocks,,,,,,,,,image,/objects/acm_088.png,,,,,,
acm_089,Untitled,C S Langston,2007,FALSE,Watercolor on satin paper,Decorative composition of peacocks and other birds perched in a flowering tree across a pale ground.,ACM.2007.006,64.5 x 29 in.,,,Peacocks;Birds;Trees;Flowers,,,,,,,,,image,/objects/acm_089.png,,,,,,
acm_090,Untitled,Qasim,,,,"Sparse watercolor landscape with a lone leafy tree, low vegetation, and faint distant forms under a pale sky.",ACM.2022.053,12 x 9 in.,,,Landscapes;Trees;Fields,,,,,,,,,image,/objects/acm_090.png,,,,,,
acm_091,Italian Church,Yvette Sturgis,,,Oil on canvas,Sunlit painting of a small church with a red-tiled roof surrounded by trees and dense garden foliage.,ACM.2022.054,11 x 14 in.,,,Churches;Architecture;Gardens;Trees,,,,,,,,,image,/objects/acm_091.png,,,,,,
acm_092,Untitled,S Dennis,,,Watercolor on Paper/ Maybe a print,"Monochromatic portrait of a woman wearing a patterned headscarf, shown in three-quarter view against a dark brushed background.",ACM.2022.055,12 x 9 in.,,,Portraits;Women;Head coverings,,,,,,,,,image,/objects/acm_092.png,,,,,,
acm_093,Untitled,C S Langston,2005,FALSE,Watercolor on Paper,"Bold watercolor study of a large white magnolia blossom surrounded by green, red, orange, and yellow leaves.",ACM.2005.001,15 x 12 in.,,,Magnolias;Flowers;Leaves;Botanical art,,,,,,,,,image,/objects/acm_093.png,,,,,,
acm_094,Stokeisa,Nancy Looper Gilbert,,,Photograph,Close-up color photograph of a purple stokesia flower and bud against dark green foliage.,ACM.2022.056,15 x 17 in.,,,Stokesia;Flowers;Plants,,,,,,,,,image,/objects/acm_094.png,,,,,,
acm_095,Untitled,,1986,FALSE,Watercolor on Paper,"Watercolor view of a steep-roofed church building marked with a cross, with trees and a walkway in the foreground.",ACM.1986.002,8 x 11 in.,,,Churches;Architecture;Crosses;Trees,,,,,,,,,image,/objects/acm_095.png,,,,,,
acm_096,Fanfare,Lil Brock Alan,,,Watercolor on Paper,"Watercolor landscape of a wooded shoreline with slender trees, marsh grasses, and autumn foliage reflected in calm water.",ACM.2022.057,20 x 14 in.,,,Landscapes;Trees;Water;Marshes;Autumn,,,,,,,,,image,/objects/acm_096.png,,,,,,
acm_097,Gloxenia and Apple,Julia Steadham,,,Watercolor on Paper,"Still life of red gloxinia blossoms and broad green leaves in a woven basket, with a single red apple beside it.",ACM.2022.058,14 x 18 in.,,,Still lifes;Gloxinias;Flowers;Apples;Baskets,,,,,,,,,image,/objects/acm_097.png,,,,,,
acm_098,Untitled,Cathy Crockell,,,Oil pastel on paper,"Three loosely rendered figures stand together near the water's edge, their clothing animated by wind against a pale blue background.",ACM.2022.059,11 x 14 in.,,,Figures;Women;Shorelines;Water,,,,,,,,,image,/objects/acm_098.png,,,,,,
